"ego","alter","friend_tie","social_tie","task_tie"
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,1.2,0.3
1,6,0,0,0
1,7,0,0,0
1,8,0,0.15,0
1,9,0,2.775,0.225
1,10,0,6.6,0.225
1,11,0,0.3,0
1,12,0,1.875,0.15
1,13,0,0.6,0
1,14,0,0,0
1,15,0,5.1,0.15
1,16,0,1.275,4.875
2,1,1,0,0
2,2,0,0,0
2,3,0,0.15,0
2,4,0,0,0
2,5,0,0,0
2,6,0,0,0
2,7,1,2.25,0.975
2,8,1,3.975,0.375
2,9,0,0,0
2,10,0,0,0
2,11,0,0,0
2,12,0,0.3,0
2,13,2,14.4,0.975
2,14,1,3.45,0.225
2,15,0,0,0.15
2,16,0,2.1,4.8
3,1,0,0,0
3,2,0,0.15,0
3,3,0,0,0
3,4,0,0,0
3,5,1,0.75,0.15
3,6,1,9.3,0.675
3,7,0,0.3,0
3,8,0,0.15,0
3,9,0,0,0
3,10,0,0.15,0
3,11,1,0.9,0.225
3,12,0,0,0
3,13,0,0,0
3,14,1,0,0
3,15,1,0,0
3,16,0,0.3,0.525
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,0,0,0
4,7,0,0,0
4,8,0,0,0
4,9,0,0,0
4,10,0,0.3,0.15
4,11,0,0,0
4,12,0,0,0
4,13,0,0,0
4,14,0,0,0
4,15,0,0,0
4,16,0,0.3,0.975
5,1,1,1.2,0.3
5,2,0,0,0
5,3,1,0.75,0.15
5,4,0,0,0
5,5,0,0,0
5,6,1,1.5,0.6
5,7,0,0,0
5,8,1,0,0
5,9,0,0,0
5,10,1,1.65,0
5,11,2,13.2,1.95
5,12,0,0,0
5,13,0,0.225,0.15
5,14,0,0,0.15
5,15,0,0.15,0
5,16,0,0.375,2.1
6,1,1,0,0
6,2,0,0,0
6,3,2,9.3,0.675
6,4,0,0,0
6,5,1,1.5,0.6
6,6,0,0,0
6,7,1,0,0
6,8,0,0.15,0
6,9,0,0,0
6,10,1,0.6,0.225
6,11,1,1.8,0.375
6,12,1,0.15,0
6,13,0,0,0
6,14,0,0.3,0.15
6,15,0,0,0
6,16,0,0.3,1.05
7,1,0,0,0
7,2,1,2.25,0.975
7,3,0,0.3,0
7,4,0,0,0
7,5,0,0,0
7,6,0,0,0
7,7,0,0,0
7,8,1,4.2,0.225
7,9,0,0,0
7,10,0,0,0
7,11,0,0,0
7,12,0,0,0
7,13,1,4.35,0.3
7,14,1,3.45,0.15
7,15,0,0.15,0
7,16,0,1.2,2.625
8,1,0,0.15,0
8,2,1,3.975,0.375
8,3,0,0.15,0
8,4,0,0,0
8,5,1,0,0
8,6,0,0.15,0
8,7,1,4.2,0.225
8,8,0,0,0
8,9,0,0,0
8,10,0,0,0
8,11,0,0.15,0
8,12,0,0,0
8,13,1,8.475,0.675
8,14,1,4.725,0.225
8,15,1,0.15,0
8,16,0,1.275,2.175
9,1,2,2.775,0.225
9,2,0,0,0
9,3,1,0,0
9,4,0,0,0
9,5,0,0,0
9,6,0,0,0
9,7,0,0,0
9,8,0,0,0
9,9,0,0,0
9,10,2,1.35,0.375
9,11,0,0,0
9,12,2,10.725,2.55
9,13,0,0,0
9,14,0,0,0
9,15,2,4.125,0.15
9,16,0,0.3,2.625
10,1,1,6.6,0.225
10,2,0,0,0
10,3,0,0.15,0
10,4,0,0.3,0.15
10,5,0,1.65,0
10,6,0,0.6,0.225
10,7,0,0,0
10,8,0,0,0
10,9,1,1.35,0.375
10,10,0,0,0
10,11,0,1.275,0
10,12,1,3.975,0.6
10,13,0,0,0
10,14,0,0.45,0
10,15,1,0.9,0.3
10,16,0,1.8,5.4
11,1,1,0.3,0
11,2,0,0,0
11,3,1,0.9,0.225
11,4,0,0,0
11,5,1,13.2,1.95
11,6,1,1.8,0.375
11,7,0,0,0
11,8,0,0.15,0
11,9,0,0,0
11,10,1,1.275,0
11,11,0,0,0
11,12,0,0,0
11,13,0,0,0
11,14,0,0.15,0
11,15,0,0.15,0
11,16,0,0.3,1.125
12,1,1,1.875,0.15
12,2,0,0.3,0
12,3,0,0,0
12,4,0,0,0
12,5,0,0,0
12,6,0,0.15,0
12,7,0,0,0
12,8,0,0,0
12,9,1,10.725,2.55
12,10,0,3.975,0.6
12,11,0,0,0
12,12,0,0,0
12,13,0,0.3,0
12,14,0,0.9,0
12,15,1,4.8,0.6
12,16,0,1.725,4.875
13,1,0,0.6,0
13,2,2,14.4,0.975
13,3,0,0,0
13,4,0,0,0
13,5,0,0.225,0.15
13,6,0,0,0
13,7,1,4.35,0.3
13,8,1,8.475,0.675
13,9,0,0,0
13,10,0,0,0
13,11,0,0,0
13,12,0,0.3,0
13,13,0,0,0
13,14,1,3.6,0
13,15,0,0,0
13,16,0,2.25,4.2
14,1,0,0,0
14,2,1,3.45,0.225
14,3,1,0,0
14,4,0,0,0
14,5,0,0,0.15
14,6,0,0.3,0.15
14,7,0,3.45,0.15
14,8,1,4.725,0.225
14,9,0,0,0
14,10,0,0.45,0
14,11,0,0.15,0
14,12,1,0.9,0
14,13,0,3.6,0
14,14,0,0,0
14,15,0,0,0
14,16,0,0.975,3.525
15,1,1,5.1,0.15
15,2,0,0,0.15
15,3,0,0,0
15,4,0,0,0
15,5,0,0.15,0
15,6,0,0,0
15,7,1,0.15,0
15,8,0,0.15,0
15,9,1,4.125,0.15
15,10,0,0.9,0.3
15,11,0,0.15,0
15,12,1,4.8,0.6
15,13,0,0,0
15,14,0,0,0
15,15,0,0,0
15,16,0,1.275,6.075
16,1,0,1.275,4.875
16,2,0,2.1,4.8
16,3,0,0.3,0.525
16,4,0,0.3,0.975
16,5,0,0.375,2.1
16,6,0,0.3,1.05
16,7,0,1.2,2.625
16,8,0,1.275,2.175
16,9,0,0.3,2.625
16,10,0,1.8,5.4
16,11,0,0.3,1.125
16,12,0,1.725,4.875
16,13,0,2.25,4.2
16,14,0,0.975,3.525
16,15,0,1.275,6.075
16,16,0,0,0
